Generation,Model_x,manufacturer,Model_y,CPU-Compatible[IE],CPU-Compatible[VFX],CPU-Compatible[3D],CPU-Compatible[AI],CPU-Compatible[Min],CPU-Compatible[Game],CPU-Compatible[Phys],CPU-Compatible[VR/AR],CPU-Compatible[Video],CPU-Compatible[Analytics],Brand_AMD,Brand_Intel
7,1700,NVIDIA,960,True,True,True,True,True,True,True,True,True,True,True,False
7,1700,NVIDIA,960,True,True,True,True,True,True,True,True,True,True,True,False
7,1800,NVIDIA,960,True,True,True,True,True,True,True,True,True,True,True,False
5,2400,NVIDIA,960,True,False,True,False,True,True,False,False,True,False,True,False
3,3100,NVIDIA,960,True,False,False,False,False,False,False,False,True,False,True,False
5,2600,NVIDIA,960,True,False,True,False,True,True,False,False,True,False,True,False
3,3200,NVIDIA,960,True,False,False,False,False,False,False,False,True,False,True,False
5,2600,NVIDIA,960,True,False,True,False,True,True,False,False,True,False,True,False
5,1400,NVIDIA,950,True,False,True,False,True,True,False,False,True,False,True,False
5,1600,NVIDIA,950,True,False,True,False,True,True,False,False,True,False,True,False
3,3100,NVIDIA,950,True,False,False,False,False,False,False,False,True,False,True,False
3,3300,NVIDIA,950,True,False,False,False,False,False,False,False,True,False,True,False
5,1500,NVIDIA,950,True,False,True,False,True,True,False,False,True,False,True,False
5,2600,NVIDIA,950,True,False,True,False,True,True,False,False,True,False,True,False
5,1600,NVIDIA,950,True,False,True,False,True,True,False,False,True,False,True,False
3,3200,NVIDIA,950,True,False,False,False,False,False,False,False,True,False,True,False
5,2600,NVIDIA,950,True,False,True,False,True,True,False,False,True,False,True,False
5,2500,NVIDIA,950,True,False,True,False,True,True,False,False,True,False,True,False
5,2400,NVIDIA,950,True,False,True,False,True,True,False,False,True,False,True,False
5,2400,NVIDIA,950,True,False,True,False,True,True,False,False,True,False,True,False
5,2600,NVIDIA,950,True,False,True,False,True,True,False,False,True,False,True,False
5,1600,NVIDIA,950,True,False,True,False,True,True,False,False,True,False,True,False
3,8100,NVIDIA,950,True,False,False,False,False,False,False,False,True,False,False,True
5,7500,NVIDIA,950,True,False,True,False,True,True,False,False,True,False,False,True
5,2600,AMD,570,True,False,True,False,True,True,False,False,True,False,True,False
3,3300,AMD,570,True,False,False,False,False,False,False,False,True,False,True,False
5,9600,AMD,570,True,False,True,False,True,True,False,False,True,False,False,True
5,2500,AMD,570,True,False,True,False,True,True,False,False,True,False,True,False
5,2600,AMD,570,True,False,True,False,True,True,False,False,True,False,True,False
7,1700,AMD,570,True,True,True,True,True,True,True,True,True,True,True,False
5,2600,AMD,570,True,False,True,False,True,True,False,False,True,False,True,False
5,9500,AMD,570,True,False,True,False,True,True,False,False,True,False,False,True
3,8100,AMD,570,True,False,False,False,False,False,False,False,True,False,False,True
5,2400,AMD,570,True,False,True,False,True,True,False,False,True,False,True,False
7,1700,AMD,570,True,True,True,True,True,True,True,True,True,True,True,False
5,7500,AMD,570,True,False,True,False,True,True,False,False,True,False,False,True
5,9400,AMD,570,True,False,True,False,True,True,False,False,True,False,False,True
5,2400,AMD,570,True,False,True,False,True,True,False,False,True,False,True,False
3,3100,AMD,570,True,False,False,False,False,False,False,False,True,False,True,False
3,3200,AMD,570,True,False,False,False,False,False,False,False,True,False,True,False
7,1800,AMD,570,True,True,True,True,True,True,True,True,True,True,True,False
5,3600,AMD,580,True,False,True,False,True,True,False,False,True,False,True,False
5,9400,AMD,580,True,False,True,False,True,True,False,False,True,False,False,True
5,3600,AMD,580,True,False,True,False,True,True,False,False,True,False,True,False
7,3700,AMD,580,True,True,True,True,True,True,True,True,True,True,True,False
7,2700,AMD,580,True,True,True,True,True,True,True,True,True,True,True,False
7,7700,AMD,580,True,True,True,True,True,True,True,True,True,True,False,True
5,10600,AMD,580,True,False,True,False,True,True,False,False,True,False,False,True
5,3600,AMD,580,True,False,True,False,True,True,False,False,True,False,True,False
7,2700,AMD,580,True,True,True,True,True,True,True,True,True,True,True,False
5,8500,AMD,580,True,False,True,False,True,True,False,False,True,False,False,True
5,10400,AMD,580,True,False,True,False,True,True,False,False,True,False,False,True
5,3400,AMD,580,True,False,True,False,True,True,False,False,True,False,True,False
7,3800,AMD,580,True,True,True,True,True,True,True,True,True,True,True,False
5,10500,AMD,580,True,False,True,False,True,True,False,False,True,False,False,True
5,9500,AMD,580,True,False,True,False,True,True,False,False,True,False,False,True
5,3500,AMD,580,True,False,True,False,True,True,False,False,True,False,True,False
5,10505,AMD,580,True,False,True,False,True,True,False,False,True,False,False,True
7,2700,AMD,580,True,True,True,True,True,True,True,True,True,True,True,False
5,9600,AMD,580,True,False,True,False,True,True,False,False,True,False,False,True
7,3800,AMD,580,True,True,True,True,True,True,True,True,True,True,True,False
7,8700,AMD,580,True,True,True,True,True,True,True,True,True,True,False,True
3,8100,NVIDIA,960,True,False,False,False,False,False,False,False,True,False,False,True
3,3300,NVIDIA,960,True,False,False,False,False,False,False,False,True,False,True,False
5,2500,NVIDIA,960,True,False,True,False,True,True,False,False,True,False,True,False
7,1700,NVIDIA,960,True,True,True,True,True,True,True,True,True,True,True,False
3,3200,NVIDIA,960,True,False,False,False,False,False,False,False,True,False,True,False
5,2400,NVIDIA,960,True,False,True,False,True,True,False,False,True,False,True,False
5,7500,NVIDIA,960,True,False,True,False,True,True,False,False,True,False,False,True
5,2600,NVIDIA,960,True,False,True,False,True,True,False,False,True,False,True,False
5,2400,NVIDIA,960,True,False,True,False,True,True,False,False,True,False,True,False
5,2600,NVIDIA,960,True,False,True,False,True,True,False,False,True,False,True,False
7,1700,NVIDIA,960,True,True,True,True,True,True,True,True,True,True,True,False
5,2600,NVIDIA,960,True,False,True,False,True,True,False,False,True,False,True,False
3,3100,NVIDIA,960,True,False,False,False,False,False,False,False,True,False,True,False
7,1800,NVIDIA,960,True,True,True,True,True,True,True,True,True,True,True,False
5,10600,AMD,580,True,False,True,False,True,True,False,False,True,False,False,True
5,3500,AMD,580,True,False,True,False,True,True,False,False,True,False,True,False
7,2700,AMD,580,True,True,True,True,True,True,True,True,True,True,True,False
7,7700,AMD,580,True,True,True,True,True,True,True,True,True,True,False,True
5,3600,AMD,580,True,False,True,False,True,True,False,False,True,False,True,False
5,10505,AMD,580,True,False,True,False,True,True,False,False,True,False,False,True
7,3800,AMD,580,True,True,True,True,True,True,True,True,True,True,True,False
5,10500,AMD,580,True,False,True,False,True,True,False,False,True,False,False,True
5,8500,AMD,580,True,False,True,False,True,True,False,False,True,False,False,True
5,9600,AMD,580,True,False,True,False,True,True,False,False,True,False,False,True
7,3800,AMD,580,True,True,True,True,True,True,True,True,True,True,True,False
7,2700,AMD,580,True,True,True,True,True,True,True,True,True,True,True,False
5,3400,AMD,580,True,False,True,False,True,True,False,False,True,False,True,False
5,9500,AMD,580,True,False,True,False,True,True,False,False,True,False,False,True
5,3600,AMD,580,True,False,True,False,True,True,False,False,True,False,True,False
5,10400,AMD,580,True,False,True,False,True,True,False,False,True,False,False,True
5,3600,AMD,580,True,False,True,False,True,True,False,False,True,False,True,False
7,2700,AMD,580,True,True,True,True,True,True,True,True,True,True,True,False
5,9400,AMD,580,True,False,True,False,True,True,False,False,True,False,False,True
7,8700,AMD,580,True,True,True,True,True,True,True,True,True,True,False,True
7,3700,AMD,580,True,True,True,True,True,True,True,True,True,True,True,False
7,3700,AMD,580,True,True,True,True,True,True,True,True,True,True,True,False
5,3600,AMD,580,True,False,True,False,True,True,False,False,True,False,True,False
5,10500,AMD,580,True,False,True,False,True,True,False,False,True,False,False,True
5,3600,AMD,580,True,False,True,False,True,True,False,False,True,False,True,False
7,3800,AMD,580,True,True,True,True,True,True,True,True,True,True,True,False
5,8500,AMD,580,True,False,True,False,True,True,False,False,True,False,False,True
7,2700,AMD,580,True,True,True,True,True,True,True,True,True,True,True,False
5,10400,AMD,580,True,False,True,False,True,True,False,False,True,False,False,True
5,10505,AMD,580,True,False,True,False,True,True,False,False,True,False,False,True
5,3400,AMD,580,True,False,True,False,True,True,False,False,True,False,True,False
7,8700,AMD,580,True,True,True,True,True,True,True,True,True,True,False,True
5,9500,AMD,580,True,False,True,False,True,True,False,False,True,False,False,True
7,2700,AMD,580,True,True,True,True,True,True,True,True,True,True,True,False
7,2700,AMD,580,True,True,True,True,True,True,True,True,True,True,True,False
5,3500,AMD,580,True,False,True,False,True,True,False,False,True,False,True,False
7,7700,AMD,580,True,True,True,True,True,True,True,True,True,True,False,True
5,9600,AMD,580,True,False,True,False,True,True,False,False,True,False,False,True
5,10600,AMD,580,True,False,True,False,True,True,False,False,True,False,False,True
5,9400,AMD,580,True,False,True,False,True,True,False,False,True,False,False,True
7,3800,AMD,580,True,True,True,True,True,True,True,True,True,True,True,False
5,3600,AMD,580,True,False,True,False,True,True,False,False,True,False,True,False
7,2700,NVIDIA,980,True,True,True,True,True,True,True,True,True,True,True,False
5,8500,NVIDIA,980,True,False,True,False,True,True,False,False,True,False,False,True
7,3700,NVIDIA,980,True,True,True,True,True,True,True,True,True,True,True,False
5,3600,NVIDIA,980,True,False,True,False,True,True,False,False,True,False,True,False
7,3800,NVIDIA,980,True,True,True,True,True,True,True,True,True,True,True,False
7,7700,NVIDIA,980,True,True,True,True,True,True,True,True,True,True,False,True
7,1700,NVIDIA,980,True,True,True,True,True,True,True,True,True,True,True,False
7,3800,NVIDIA,980,True,True,True,True,True,True,True,True,True,True,True,False
7,2700,NVIDIA,980,True,True,True,True,True,True,True,True,True,True,True,False
5,3600,NVIDIA,980,True,False,True,False,True,True,False,False,True,False,True,False
5,3400,NVIDIA,980,True,False,True,False,True,True,False,False,True,False,True,False
5,3600,NVIDIA,980,True,False,True,False,True,True,False,False,True,False,True,False
7,1700,NVIDIA,980,True,True,True,True,True,True,True,True,True,True,True,False
7,1800,NVIDIA,980,True,True,True,True,True,True,True,True,True,True,True,False
5,3500,NVIDIA,980,True,False,True,False,True,True,False,False,True,False,True,False
7,2700,NVIDIA,980,True,True,True,True,True,True,True,True,True,True,True,False
7,8700,NVIDIA,980,True,True,True,True,True,True,True,True,True,True,False,True
7,3800,AMD,580,True,True,True,True,True,True,True,True,True,True,True,False
7,8700,AMD,580,True,True,True,True,True,True,True,True,True,True,False,True
5,3600,AMD,580,True,False,True,False,True,True,False,False,True,False,True,False
5,9400,AMD,580,True,False,True,False,True,True,False,False,True,False,False,True
5,3600,AMD,580,True,False,True,False,True,True,False,False,True,False,True,False
7,3800,AMD,580,True,True,True,True,True,True,True,True,True,True,True,False
5,10505,AMD,580,True,False,True,False,True,True,False,False,True,False,False,True
5,9500,AMD,580,True,False,True,False,True,True,False,False,True,False,False,True
5,10400,AMD,580,True,False,True,False,True,True,False,False,True,False,False,True
7,2700,AMD,580,True,True,True,True,True,True,True,True,True,True,True,False
5,8500,AMD,580,True,False,True,False,True,True,False,False,True,False,False,True
7,2700,AMD,580,True,True,True,True,True,True,True,True,True,True,True,False
7,2700,AMD,580,True,True,True,True,True,True,True,True,True,True,True,False
7,3700,AMD,580,True,True,True,True,True,True,True,True,True,True,True,False
5,10500,AMD,580,True,False,True,False,True,True,False,False,True,False,False,True
5,3400,AMD,580,True,False,True,False,True,True,False,False,True,False,True,False
5,10600,AMD,580,True,False,True,False,True,True,False,False,True,False,False,True
5,9600,AMD,580,True,False,True,False,True,True,False,False,True,False,False,True
5,3600,AMD,580,True,False,True,False,True,True,False,False,True,False,True,False
5,3500,AMD,580,True,False,True,False,True,True,False,False,True,False,True,False
7,7700,AMD,580,True,True,True,True,True,True,True,True,True,True,False,True
5,5600,NVIDIA,1650,True,False,True,False,True,True,False,False,True,False,True,False
5,9500,NVIDIA,1650,True,False,True,False,True,True,False,False,True,False,False,True
3,3300,NVIDIA,1650,True,False,False,False,False,False,False,False,True,False,True,False
7,8700,NVIDIA,1650,True,True,True,True,True,True,True,True,True,True,False,True
5,5500,NVIDIA,1650,True,False,True,False,True,True,False,False,True,False,True,False
5,11600,NVIDIA,1650,True,False,True,False,True,True,False,False,True,False,False,True
7,9700,NVIDIA,1650,True,True,True,True,True,True,True,True,True,True,False,True
7,7700,NVIDIA,1650,True,True,True,True,True,True,True,True,True,True,False,True
7,3800,NVIDIA,1650,True,True,True,True,True,True,True,True,True,True,True,False
5,11500,NVIDIA,1650,True,False,True,False,True,True,False,False,True,False,False,True
5,2600,NVIDIA,1650,True,False,True,False,True,True,False,False,True,False,True,False
5,7500,NVIDIA,1650,True,False,True,False,True,True,False,False,True,False,False,True
3,3100,NVIDIA,1650,True,False,False,False,False,False,False,False,True,False,True,False
5,9600,NVIDIA,1650,True,False,True,False,True,True,False,False,True,False,False,True
5,2600,NVIDIA,1650,True,False,True,False,True,True,False,False,True,False,True,False
5,9400,NVIDIA,1650,True,False,True,False,True,True,False,False,True,False,False,True
5,3500,NVIDIA,1650,True,False,True,False,True,True,False,False,True,False,True,False
